CELEBRITY,TEAM,PROFESSION
Magic Johnson,Los Angeles FC,Exbasquetbolista
Will Ferrell,Los Angeles FC,Actor y Comendiante
Matthew McConaughey,Texano Austin FC,Actor
Drew Carey,Seattle Sounders FC,Actor y Comendiante
Selena GÃ³mez,,Cantante y Actriz
Leonardo Dicaprio,,Actor
Toby McGuire,,Actor
Gerard Butler,,Actor
David Beckham,Inter Miami,Exfutbolista
Macklemore,Seattle Sounders FC,Cantante
James Harden,Houston Dynamo,Basquetbolista
Chad Hurley,,Empresario
Tony Robbins,,Escritor y Orador
Peter Guber,,Productor de cine
Brandon Beck,,Fundador de League of Legends
Ciara,Seattle Sounders FC,Cantante
Drew Carey,Seattle Sounders FC,Actor
Ken Griffey Jr ,Seattle Sounders FC,Exbeisbolista
Patrick Mahomes,Sporting Kansas City,Chiefs
Steve Nash,Vancouver Whitecaps,Entrenador de Baloncesto
Mark Igram,DC United ,Saints
Yo Gotti,DC United ,Cantante
Nomar Garciaparra,Los Angeles FC,Exbeisbolista
Mia Hamm,Los Angeles FC,Exfutbolista
Kevin Durant,Philadelphia Union,Basquetbolista